id,post_date,post_status,post_title,post_content,post_excerpt,post_type,ping_status,comment_status,post_categories,actividad_destino
4242,19/05/14 16:40,publish,BEST WESTERN Aeropuerto,"LOCALES-BCS
30.00% off / Rack ",,promociones,closed,closed,,
4241,19/05/14 16:37,publish,Casa Dorada Los Cabos Resort & Spa,"Honeymoon Package:
Suite accommodations for five nights in a Luxury One Bedroom accommodations with Ocean Views. Romantic dinner for two on the beach. An 50 minutes relaxation Massage for two at Saltwater Spa. Rose Petal Turndown on the night of arrival. Chilled Champagne and Strawberries are delivered on the evening of your arrival. Daily Buffet Breakfast. 2:00 p.m. check-out. Special discounted rate for additional nights. Accommodation in One Bed Room Suite , 1'380 Sq. feet, Ocean View with terrace.
Dining Experience:
3 nights Accommodation in Junior Suite ( 1,381 sq. feet). Dining Experience for 2 persons at the 12 Tribes Restaurants, 3 courses dinner with a House Wine Bottle and 2 cocktails.",,promociones,closed,closed,,
4240,19/05/14 16:34,publish,BEL AIR COLLECTION RESORT & SPA LOS CABOS ,"BEL AIR SUMMER SPECIAL:
Bel Air Resort & Spa Los Cabos  invite you to the most relaxing, exotic and romantic atmosphere property,  97 comfortable and moderns rooms, located on the Sea of Cortes beach front, only 15 minutes from  Internacional Los Cabos Airport,  10 minutes for San JosÌ© del Cabo down town, on the Turistic corridor to Cabo San Lucas.
ROOM RATES PER PERSON PER NIGHT:
$ 90 USD PER PERSON PER NIGHT, 40 usd CHILDREN FROM 7-12 YEARS OLD
ROOM RATES PER ROOM PER NIGHT:
$100 USD PER ROOM PER NIGTH (ONE OR TWO PERSONS)","Let us pamper you with our special Bel air  Delights , welcome sparkling wine, early bird breakfast, Terrace tea time w/coffee, tea, pastries, Sunset corner w/sparkling wine glass , daily turn down service, in room petit fours, FREE  high speed, Liason. Plus All gourmet",promociones,closed,closed,,
4239,19/05/14 16:30,publish,Hacienda Beach Club & Residences,"Summer Package:
Third night complimentary - $100.00 Spa Credit",,promociones,closed,closed,,
4232,08/05/14 15:54,publish,LOS CABOS INTERNATIONAL FILM FESTIVAL  ,"<i>Los Cabos, Baja California Sur., a 6 de mayo de 2014.</i>åÊ <b>Los Cabos International Film Festival (CIFF)</b> en su tercera ediciÌ_n, convoca a realizadores y productores a inscribir sus trabajos en las distintas secciones del festival: <b>SelecciÌ_n Oficial, Work In Progress MÌ©xico, Foro de CoproducciÌ_n MÌ©xico-USA-CanadÌÁ</b> y <b>Gabriel Figueroa Film Fund</b><i>.</i>
La <b>SelecciÌ_n Oficial</b> se conforma de dos secciones competitivas en las que son admitidas pelÌ_culas producidas en el perÌ_odo 2013-2014 (que no hayan sido inscritas previamente al CIFF):
1.åÊ <b>Competencia Los Cabos,</b> åÊestÌÁ abierta para largometrajes de ficciÌ_n o documental, originarios o coproducidos por MÌ©xico, Estados Unidos o CanadÌÁ que compiten por un premio en efectivoåÊ de USD $15,000.00 que se entregan al productor de la pelÌ_cula.
2. <b>MÌ©xico Primero,</b> contempla a los largometrajes mexicanos, primeras y segundas pelÌ_culas, ficciÌ_n o documental, que compiten por un premio en efectivoåÊ de USD $15,000.00, otorgados al director de la pelÌ_cula.
Las pelÌ_culas que integran esta secciÌ_n, compiten ademÌÁs, por el premio ofrecido por nuestro aliado <b>MOVIECITY</b>, con valor de USD $40,000.00 para la producciÌ_n de la pelÌ_cula (este premio implica la compra anticipada de derechos de transmisiÌ_n de la pelÌ_cula en televisiÌ_n de paga a travÌ©s del paquete de canales que <b>MOVIECITY</b> ofrece en AmÌ©rica Latina).
Las convocatorias de Industria estÌÁn conformadas por <b>Work In Progress MÌ©xico</b> y åÊ<b>Foro de CoproducciÌ_n MÌ©xico-USA-CanadÌÁ</b>.
Con el objetivo de contribuir a la conclusiÌ_n de largometrajes mexicanos en etapa de postproducciÌ_n, se seleccionarÌÁn seis pelÌ_culas mexicanas de ficciÌ_n o documental, en etapa de postproducciÌ_n para participar en el segundo<b> Work In Progress MÌ©xico</b> . CIFF otorgarÌÁ un Ì¼nico premio de USD $10,000.00 a la producciÌ_n ganadora de esta secciÌ_n.
A su vez, <b>MOVIECITY</b>, elegirÌÁ una de las pelÌ_culas de <b>Work In Progress</b> para la compra anticipada de derechos de transmisiÌ_n para AmÌ©rica Latina y el Caribe, ofreciendo un premio de USD $30,000.00.
<b>CIFF</b> realizarÌÁ el primer<b> Foro de CoproducciÌ_n MÌ©xico-USA-CanadÌÁ</b>, con el objetivo de contribuir y apoyar al desarrollo y vinculaciÌ_n de la industria cinematogrÌÁfica de la regiÌ_n de NorteamÌ©rica. Doce proyectos en etapa de desarrollo (Cuatro por cada paÌ_s participante) serÌÁn seleccionados para presentarse en este foro.
Los representantes de cada proyecto participante tendrÌÁn acceso a una serie de reuniones uno a uno con<b> </b>destacados miembros de la industria cinematogrÌÁfica internacional yåÊ con potenciales coproductores que participaran en el Festival.
Por segundo aÌ±o consecutivo, åÊel fondo fÌ_lmico<b> <i>Gabriel Figueroa Film Fund</i> (GFFF)</b> darÌÁ apoyo a siete largometrajes mexicanos de ficciÌ_n o documental en su primera etapa de desarrollo. Cada uno de los siete proyectos ganadores serÌÁ beneficiado con USD$5,000.00.
AdemÌÁs, en valiosa colaboraciÌ_n con la empresa <b>Labodigital S.A. de C.V</b>, dos de las pelÌ_culas inscritas al GFFF, que se encuentren en etapa de postproducciÌ_n serÌÁnåÊ seleccionadas para recibir un apoyo de USD $51,620.00 en servicios de postproducciÌ_n.
<b>CIFF </b>propone realizar una contribuciÌ_n positiva al desarrollo de la cultura åÊcinematogrÌÁfica mundial, con especial enfoque en la mexicana, estadounidense y canadiense, apoyando el talento de sus realizadores. De igual manera colabora con el fomento y difusiÌ_n de las actividades culturales y turÌ_sticas del estado de Baja California Sur.
<b>Sobre CIFF:</b><b> </b>Del 11 al 16 de noviembre de 2014, socios estratÌ©gicos de MÌ©xico, Estados Unidos, CanadÌÁ y amigos de todo el mundo, construirÌÁn juntos una plataforma de intercambio cultural y comercial para la industria cinematogrÌÁfica, en este maravilloso escenario de Baja California Sur<b>.</b>
<a href=""http://www.cabosfilmfestival.com/""><b>www.cabosfilmfestival.com</b></a><b> </b>
Facebook: Cabos Film Festival
Twitter: @CaboFilmFest
&nbsp;
<b>Sobre fechas de inscripciÌ_n, trabajos seleccionados y ganadores:</b>
SelecciÌ_n Oficial:
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ Competencia de los Cabos:
<ul>
	<li>Inscripciones: del 6 de Mayo al 31 de julio de 2014.</li>
	<li>Anuncio de la selecciÌ_n : 10 de octubre de 2014.</li>
</ul>
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ MÌ©xico Primero:
<ul>
	<li>Inscripciones: del 6 de Mayo al 31 de julio de 2014.</li>
	<li>Anuncio de la selecciÌ_n : 10 de octubre de 2014.</li>
</ul>
&nbsp;
Convocatorias de Industria:
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ åÊWork In Progress MÌ©xico:
<ul>
	<li>Inscripciones: del 6 de Mayo al 31 de Julio de 2014.</li>
	<li>Anuncio de la selecciÌ_n: 10 de octubre de 2014.</li>
</ul>
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ Foro de CoproducciÌ_n MÌ©xico-USA-CanadÌÁ:
<ul>
	<li>Inscripciones: del 6 de Mayo al 31 de Julio de 2014.</li>
	<li>Anuncio de la selecciÌ_n: 3 de octubre de 2014.</li>
</ul>
GFFF
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ Inscripciones: del 6 de Mayo al 31 de Julio de 2014.
-åÊåÊåÊåÊåÊåÊåÊåÊåÊ Anuncio de proyectos ganadores: 11 de Noviembre durante la 3å» ediciÌ_n del CIFF.","Convoca a Directores y Productores
‰Û¢	A participar en  su 3å» ediciÌ_n CIFF inscribiendo sus proyectos a partir del 6 de mayo al 31 de julio de 2014.
‰Û¢	En esta ediciÌ_n, CIFF realizarÌÁ el primer Foro de CoproducciÌ_n MÌ©xico-USA-CanadÌÁ, con el objetivo de contribuir y apoyar al desarrollo y vinculaciÌ_n de la industria cinematogrÌÁfica de la regiÌ_n de NorteamÌ©rica. 
",press-release,closed,closed,,
4230,05/05/14 18:44,publish,Templo,Restaurante Grill+Wok+Bar,Southamerican grill asian influenced restaurant,actividades,closed,closed,Restaurantes:restaurantes,cabo-san-lucas
4229,03/05/14 00:58,publish,"Sheraton Hacienda del Mar Golf & Spa Resort, Los",,,promociones,closed,closed,,
4228,03/05/14 00:56,publish,POSADA REAL LOS CABOS,,,promociones,closed,closed,,
4227,03/05/14 00:52,publish,ME CABO,,,promociones,closed,closed,,
4226,03/05/14 00:49,publish,Hilton Los Cabos,,,promociones,closed,closed,,
3422,26/06/13 02:00,publish,Casa Dorada,,,promociones,closed,closed,,
4174,26/03/14 22:33,publish,TORNEO DE GOLF 4th ed. MERCEDES TROPHY,"<p style=""text-align: center;""><a href=""http://visitaloscabos.travel/wp-content/uploads/2014/03/INVITACION-mercedes23.jpg""><img class=""aligncenter  wp-image-4220"" alt=""INVITACION mercedes2[3]"" src=""http://visitaloscabos.travel/wp-content/uploads/2014/03/INVITACION-mercedes23.jpg"" width=""630"" height=""530"" /></a></p>
""Mercedes-Benz Trophy 2014""åÊPatrocinado por FITURCA,åÊa celebrarse el prÌ_ximo 17 de Mayo en el campo de golf Palmilla.
<b>InformaciÌ_n del torneo:</b>
Fecha del torneo 2014: SÌÁbado 17 de Mayo
NÌ¼mero de participantes: åÊ80 jugadores
Agenda: 7am desayuno / 8am escopetazo / 12pm Rueda de prensa / 2pm comida y premiaciÌ_n
Sistema de Juego:åÊ Stroke Play al 80% de handicap
Torneo: Individual a 18 hoyos,
CategorÌ_as: Damas 0 a 36 hcp Hombres 0 a 13 y 14 a 36 de handicap
Premios:åÊåÊ Premios en 4 pares tres / Kit de regalos / Auto para Hole in One",,eventos,closed,closed,,
